Year  S1    S2    S3    S4
1940. -0.96 -1.03 -1.01 -0.79
1941. -0.75 -0.77 -0.74 -0.92
1942. -0.67 -0.73 -0.70 -0.68
1943. -0.70 -0.72 -0.73 -1.00
1944. -0.52 -0.44 -0.50 -0.54
1945. -1.33 -1.19 -1.28 -0.02
1946.  0.62  0.42  0.54  0.54
1947. -0.33 -0.09 -0.22 -1.53
1948. -0.22 -0.17 -0.19 -0.40
1949.  0.61  1.02  0.80  1.18
1950. -0.46 -0.52 -0.51  0.23
1951.  1.78  2.00  1.87  2.16
1952.  1.64  1.87  1.77  2.04
1953.  0.69  0.73  0.71  0.46
1954.  0.81  1.04  0.93  1.97
1955.  1.26  1.06  1.17  1.15
1956. -0.41 -0.22 -0.31 -1.57
1957.  0.75  0.94  0.85 -0.43
1958.  0.09  0.01  0.04 -3.12
1959. -2.00 -1.90 -1.96 -1.13
1960.  0.68  0.50  0.59  0.11
1961. -0.84 -0.91 -0.88 -0.48
1962. -1.56 -1.54 -1.55 -0.84
1963. -2.34 -2.20 -2.27 -1.69
1964. -0.19 -0.43 -0.30  0.77
1965. -0.17 -0.47 -0.32  0.68
1966. -1.70 -1.79 -1.74 -2.38
1967.  0.60  0.44  0.53  0.10
1968.  0.72  0.56  0.63 -0.84
1969. -0.91 -0.77 -0.83 -1.43
1970.  0.05 -0.02  0.02 -0.59
1971.  0.17  0.12  0.16 -1.11
1972.  1.15  1.12  1.14  0.91
1973. -0.41 -0.17 -0.30  0.37
1974.  0.18  0.33  0.25  0.94
1975. -0.28 -0.23 -0.26 -0.10
1976.  1.60  1.76  1.68  0.43
1977.  0.27  0.36  0.32 -0.77
1978. -0.38 -0.43 -0.39 -0.45
1979.  0.01  0.12  0.06  0.36
1980. -0.09 -0.03 -0.06  0.04
1981.  1.07  0.93  1.03  0.29
1982.  0.05  0.03  0.03 -0.41
1983.  1.66  1.60  1.62  0.61
1984.  2.03  1.96  2.00  1.98
1985. -0.42 -0.32 -0.37 -1.10
1986. -0.76 -0.63 -0.69 -1.59
1987. -0.12 -0.07 -0.10 -0.05
1988. -0.30 -0.29 -0.30 -0.97
1989.  0.76  0.72  0.76  0.64
1990. -0.79 -0.74 -0.76  0.04
1991. -0.31 -0.28 -0.30  0.03
1992.  0.72  0.63  0.67  1.20
1993.  1.82  1.83  1.80  2.04
1994.  1.36  1.39  1.36  0.10
1995. -0.14  0.09 -0.02 -0.32
1996. -0.75 -0.94 -0.81 -1.62
1997. -1.43 -1.37 -1.38 -2.13
1998.  1.12  0.89  1.02 -0.05
1999.  2.15  2.19  2.16  1.52
2000.  2.08  2.09  2.09  1.72
2001.  0.64  0.80  0.75  0.77
2002.  1.85  1.80  1.84  1.37
2003.  0.52  0.34  0.44 -0.43
2004. -1.43 -1.36 -1.40 -0.68
2005.  1.90  1.83  1.87  2.76
2006. -0.05 -0.08 -0.05 -1.42
2007.  1.46  1.26  1.40  0.46
2008. -1.12 -0.98 -1.04  0.25
2009.  0.18  0.20  0.21  0.17
2010.  0.26  0.18  0.20 -0.59
2011. -1.34 -1.32 -1.31 -1.87
2012.  2.89  2.74  2.83  1.01
2013.  2.42  2.31  2.39  1.24
2014.  1.96  2.08  2.01  0.65


© Sylvain Watelet 2019
Contact: swatelet@uliege.be
