Year   GSNW   GSD    GST
1940.  -1.10   0.12  -1.18
1941.  -0.89   0.53  -2.47
1942.  -0.85  -0.11  *****
1943.  -0.76  -0.37  *****
1944.  -0.30  -0.71  *****
1945.  -0.90  -0.89  *****
1946.  -0.02  -0.71  *****
1947.   0.30   1.75  -1.76
1948.  -0.08   0.30  -0.81
1949.   1.54  -0.99  -0.09
1950.  -0.51  -1.70   1.54
1951.   2.27  -2.40  -0.30
1952.   2.15  -1.60  -1.69
1953.   0.76  -1.31  -0.31
1954.   1.30  -0.73  -0.45
1955.   0.75  -0.16  -0.22
1956.   0.06  -0.14  -0.31
1957.   1.02  -0.24  -0.39
1958.  -0.22   2.38  -0.53
1959.  -1.63  -0.15  -0.09
1960.   0.45  -0.67  -0.28
1961.  -0.92  -0.15   0.95
1962.  -1.33  -0.56   0.13
1963.  -1.99  -0.56   0.95
1964.  -0.74  -0.06   1.96
1965.  -0.72   1.13  -0.22
1966.  -1.88   0.36   1.06
1967.   0.11   0.84  -0.44
1968.   0.28   0.01  -1.27
1969.  -0.49   0.11  -0.67
1970.  -0.17  -0.74  -1.27
1971.   0.11   0.10  -1.22
1972.   1.24   0.60  -0.47
1973.   0.27   0.58  -1.79
1974.   0.62   1.10  -1.91
1975.   0.02   1.39  -0.08
1976.   1.96   1.03   0.32
1977.   0.45   0.83  -0.26
1978.  -0.56   0.10  -0.36
1979.   0.35   0.56  -0.03
1980.   0.16   0.25  -1.36
1981.   0.55  -0.52   0.00
1982.  -0.01   0.79   0.28
1983.   1.60  -0.18  -0.27
1984.   1.73   0.11  -0.26
1985.  -0.04   1.00  -0.92
1986.  -0.49   0.96  -0.29
1987.   0.01   0.74   0.18
1988.  -0.32   0.86   1.01
1989.   0.57   1.11   1.06
1990.  -0.66   0.89   2.56
1991.  -0.17   1.55   1.73
1992.   0.63   1.71   0.57
1993.   2.00   1.71   0.35
1994.   1.52   1.41   0.11
1995.   0.31   0.93   1.42
1996.  -1.24   0.67   0.58
1997.  -1.31   0.72   1.07
1998.   0.42   1.17   1.81
1999.   2.22   0.55   0.37
2000.   2.18   0.24  -0.13
2001.   0.75   0.28  -0.11
2002.   1.61   1.75  -0.27
2003.   0.02   1.83   0.25
2004.  -1.10   0.83   2.12
2005.   1.81   0.29   1.07
2006.  -0.10   0.05  -0.03
2007.   0.81   1.43   1.23
2008.  -0.73  -0.21   1.11
2009.   0.14   0.83  -0.49
2010.   0.14  -0.30  -0.81
2011.  -1.37   0.40   0.22
2012.   2.37  -0.64  -1.02
2013.   2.00   0.07   0.24
2014.   2.21   1.19   0.54


© Sylvain Watelet 2017
Contact: swatelet@ulg.ac.be
